#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CHRONICLE_LOST_BATTLE_BUT_DIDNT_FIGHT;The army of [Root.TopLiege.GetTitledName], commanded by [Root.GetTitledName], was defeated in the battle of [Root.Location.GetName] against the armies of [From.Topliege.GetTitledName].;L'armée de [Root.TopLiege.GetTitledName], menée par [Root.GetTitledName], a perdu la bataille de [Root.Location.GetName] contre les armées de [From.Topliege.GetTitledName].;Das Heer von [Root.TopLiege.GetTitledName] unter dem Befehl von [Root.GetTitledName] unterlag in der Schlacht von [Root.Location.GetName] den Truppen von [From.Topliege.GetTitledName].;;El ejército de [Root.TopLiege.GetTitledName], comandado por [Root.GetTitledName], salió derrotado en la batalla de [Root.Location.GetName] contra los ejércitos de [From.Topliege.GetTitledName]. ;;;;;;;;;x
CHRONICLE_CAPTURED_MAJOR_SETTLEMENT_MYSELF;[Root.GetTitledName] successfully led [Root.GetHerHis] armies, taking [From.GetName] from the enemy.;[Root.GetTitledName] a mené ses troupes à la victoire avec succès, prenant [From.GetName] aux mains des ennemis.;[Root.GetTitledName] führte [Root.GetHerHis] Heer erfolgreich und eroberte [From.GetName] vom Feind.;;[Root.GetTitledName] lideró con éxito [Root.GetHerHis] ejércitos, tomando [From.GetName] del enemigo.;;;;;;;;;x
CHRONICLE_MY_FORCES_CAPTURED_MAJOR_SETTLEMENT;The armies of [Root.TopLiege.PrimaryTitle.GetName], led by [Root.GetTitledName], captured [From.GetName].;Les armées de [Root.TopLiege.PrimaryTitle.GetName], menées par [Root.GetTitledName], ont pris [From.GetName].;Das Heer von [Root.TopLiege.PrimaryTitle.GetName] unter Führung von [Root.GetTitledName] nahm [From.GetName] gefangen.;;Los ejércitos de [Root.TopLiege.PrimaryTitle.GetName], liderados por [Root.GetTitledName], capturaron [From.GetName].;;;;;;;;;x
CHRONICLE_ENEMY_FORCES_CAPTURED_MAJOR_SETTLEMENT;[From.Owner.TopLiege.PrimaryTitle.GetName] lost [From.GetName] to the forces of [Root.TopLiege.GetTitledName].;[From.Owner.TopLiege.PrimaryTitle.GetName] a perdu [From.GetName] aux mains de [Root.TopLiege.GetTitledName].;[From.Owner.TopLiege.PrimaryTitle.GetName] verlor [From.GetName] an die Truppen von [Root.TopLiege.GetTitledName].;;[From.Owner.TopLiege.PrimaryTitle.GetName] ha perdido [From.GetName] en beneficio de las fuerzas de [Root.TopLiege.GetTitledName].;;;;;;;;;x
CHRONICLE_UNITED_INDIA;[Root.GetDynName] established control of all the empires of India, thus declaring [Root.GetHerselfHimself] [Root.GetTitle];[Root.GetDynName] a pris le contrôle de tous les empires de l'Inde, se proclamant ainsi [Root.GetTitle];[Root.GetDynName] sichert sich die Herrschaft über alle Reiche Indiens und erklärt sich selbst zum [Root.GetTitle];;[Root.GetDynName] estableció el control de todos los imperios de la India, declarándose así [Root.GetHerselfHimself] [Root.GetTitle];;;;;;;;x;
CHRONICLE_VIKING_AGE_BEGINS;Norsemen set sail in their longships and to trade and raid beyond their northern homelands in ever increasing numbers, signalling the beginning of a new age.;Les hommes du Nord ont hissé les voiles de leurs drakkars et sont de plus en plus nombreux à parcourir les mers au-delà de leurs territoires, commerçant et pillant. C'est le début d'une ère nouvelle.;Die Wikinger brachen in immer größerer Zahl in ihren Schiffen aus ihrer nordischen Heimat auf, um Handel zu treiben und zu plündern, und läuteten damit ein neues Zeitalter ein.;;Los nórdicos dejaron atrás sus hogares y se echaron a la mar con sus barcos vikingos para comerciar y atacar, incrementando constantemente su número, marcando el inicio de una nueva era.;;;;;;;;;x
elective_gavelkind;Elective Gavelkind;Partage électoral;Wahlweise Realteilung;;Gavelkind Electiva;;;;;;;;;x
succ_elective_gavelkind;Elective Gavelkind;Partage électoral;Wahlweise Realteilung;;Gavelkind Electiva;;;;;;;;;x
succ_elective_gavelkind_desc;The titles of the ruler are divided among his children and the primary heir, who is elected from among the members of the ruling dynasty. The law defaults to Primogeniture. You get no Prestige penalty for having unlanded sons, and can have a §Y30%§! larger demesne. Destruction of titles under any form of Gavelkind succession is not allowed. On succession in kingdoms and empires, new kingdoms might be created for younger sons if possible. Junior heirs always get the choice to declare independence without a war.;Les titres du monarque sont partagés entre ses enfants et son héritier désigné, lequel est élu parmi les membres de la dynastie régnante. Le partage est réglé ar la primogéniture. Les fils sans terre n'occasionne aucune perte de prestige et la taille maximale du domaine est accrue de §Y30%§!. Aucun titre ne peut être détruit sous l'égide des lois de succession fondée sur le partage. Au terme d'une succession royale ou impériale, de nouveaux royaumes peuvent être créés pour les héritiers cadets. Ces derniers se voient offrir la possibilité d'accéder à l'indépendance sans devoir livrer de guerre.;Die Titel des Herrschers werden unter seinen Kinder und den Haupterben verteilt, der aus den Mitgliedern der herrschenden Dynastie gewählt wird. Nach der Gesetzesregel erbt der Erstgeborene. Wenn Ihr landlose Söhne habt, bekommt Ihr keine Prestigestrafe und dürft eine um §Y30%§! größere Domäne haben. Die Vernichtung von Titeln, durch welche Form der Realteilung auch immer, ist nicht erlaubt. Bei der Nachfolge in König- und Kaiserreichen können, falls möglich, für jüngere Söhne neue Königreiche gegründet werden. Jüngere Erben bekommen immer die Wahl, ohne Krieg die Unabhängigkeit zu erklären.;;Los títulos del gobernante se reparten entre sus hijos y su principal heredero, que es elegido de entre los miembros de la dinastía reinante. La ley señala, por defecto, al primogénito. Aunque tengas hijos sin tierras, no recibirás ninguna penalización de Prestigio, y puedes obtener una terratenencia un ¡§Y30%§! mayor. No se permite la destrucción de títulos bajo ninguna forma de la sucesión Gavelkind. En la sucesión en reinos e imperios, se pueden crear nuevos reinos destinados a los hijos menores, a ser posible. Los herederos más pequeños siempre tienen la opción de declarar la independencia sin una guerra.;;;;;;;;;x
#form_new_kingdom_requirement_tooltip;Hold 3 duchy title;Avoir 3 titres ducaux;Haltet 3 Herzogstitel;;Sustenta 3 títulos de ducados;;;;;;;;;x
#form_new_empire_requirement_tooltip;Hold 3 kingdom titles;Avoir 3 titres royaux;Haltet 3 Königstitel;;Sustenta 3 títulos de reino;;;;;;;;;x
norse_pagan;Germanic;Nordique;Germanisch;;Germánico;;;;;;;;;x
uncle;Uncle;Oncle;Onkel;;Tío;;;;;;;;;x
aunt;Aunt;Tante;Tante;;Tía;;;;;;;;;x
kharijite;Kharijite;Kharidjite;Charidschiten;;Jariyismo;;;;;;;;;x
kharijite_DESC;The Kharijites are a branch of Islam that was marginalized and repressed early in the 7th century. They believe that any unrepentant sinner is a Kafir, also rejecting the notion of infallibility of the Caliphs. Defining features in-game:\n§Y*§! The Kharijite Caliphate is held by a secular ruler, and can cease to exist.\n§Y*§! The Kharijite Caliph can subjugate other Kharijite rulers freely\n§Y*§! The Kharijite Caliph can declare great Jihads\n§Y*§! Kharijite rulers can - and are expected to have - multiple wives\n§Y*§! Temple Holdings can be held by anyone without penalty\n§Y*§! Kharijite dynasties grow decadent unless the men have enough land and win wars;Les kharidjites forment une branche de l'Islam marginalisée et opprimée dès le début du 7e siècle. D'après les kharidjites, les pécheurs non repentants sont des Kafirs, et rejettent également la notion d'infaillibilité des califes. Caractéristiques en jeu :\n§Y*§! Le califat kharidjite est dirigé par un chef laïc et peut cesser d'exister\n§Y*§! Le calife kharidjite est libre d'assujettir d'autres dirigeants kharidjites.\n§Y*§! Le calife kharidjite peut déclarer de grands jihads\n§Y*§! Les dirigeants kharidjites peuvent (et doivent) avoir plusieurs femmes\n§Y*§! Les propriétés de temple peuvent être tenues par quiconque sans pénalité\n§Y*§! Les dynasties kharidjites deviennent décadentes, sauf si les hommes ont assez de terres et qu'ils gagnent des guerres;Die Charidschiten sind eine Fraktion des Islam, die im frühen 7. Jahrhundert ausgegrenzt und unterdrückt wurde. Ihrem Glauben nach ist jeder unreuige Sünder ein Kafir, der auch die Lehre von der Unfehlbarkeit des Kalifen ablehnt. Besondere Merkmale im Spiel:\n§Y*§! Das charidschitische Kalifat wird von einem weltlichen Herrscher besetzt und kann untergehen.\n§Y*§! Der charidschitische Kalif kann andere charidschitische Herrscher beliebig unterwerfen.\n§Y*§! Der charidschitische Kalif kann den großen Dschihad erklären.\n§Y*§! Charidschitische Herrscher können mehrere Frauen haben - was von ihnen auch erwartet wird.\n§Y*§! Tempel-Liegenschaften können von jedem ohne Strafe gehalten werden.\n§Y*§! Charidschitische Dynastien werden dekadent, wenn die Männer nicht genug Land haben und keine Kriege gewinnen.;;Los Jariyitas son una rama del Islam que fue marginada y reprimida a principios del siglo VII. Creen que un pecador impenitente es un Kafir (Infiel), también rechazan la condición de infalibilidad de los califas. Características distintivas en el juego:\n§Y*§! El califato jariyita es mantenido por un gobernante secular y puede dejar de existir\n§Y*§! El califato jariyita puede libremente subyugar a otros gobernantes jariyitas\n§Y*§! El Califato Jariyita puede declarar grandes Yihads\n§Y*§! Los gobernantes jariyitas pueden tener -y de ellos se espera que tengan- varias esposas\n§Y*§! Cualquiera puede mantener Propiedades Templo sin penalización alguna\n§Y*§! Las dinastías jariyitas caen en la decadencia a menos de que lo hombres posean suficientes tierras y de que ganen guerras;;;;;;;;;x
d_kharijite;The Kharijite Caliphate;Le calife kharidjite;Das Charidschitische Kalifat;;El Califato Jariyita;;;;;;;;;x
d_kharijite_adj;Kharijite Caliphal;Califat kharidjite;Charidschitisches Kalifal;;Califa Jariyita;;;;;;;;;x
vice_royalty_baron;Baron Viceroy;Bailli;Baron Vizekönig;;Virrey Barón;;;;;;;;;x
vice_royalty_count;Count Viceroy;Vicomte;Graf Vizekönig;;Virrey Conde;;;;;;;;;x
vice_royalty_duke;Minor Viceroy;Comte palatin;Minderer Vizekönig;;Virrey Menor;;;;;;;;;x
vice_royalty_king;Viceroy;Prince palatin;Vizekönig;;Virrey;;;;;;;;;x
vice_royalty_king_english;;Lord Lieutenant;;;;;;;;;;;;
vice_royalty_emperor;Grand Viceroy;César;Großer Vizekönig;;Gran Virrey;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_TITLE;Grant Viceroyalty;Déléguer l'administration;Verleiht die Vizekönigswürde;;Conceder Virreinato;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_DESC;Grant a Viceroyalty to the character;Nommer ce personnage à la tête d'une division de vos États;Verleiht einem Charakter die Vizekönigswürde;;Conceder la condición de virrey al personaje;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_LONG_DESC;Grant one of your landed titles as a Viceroyalty to another character. This will significantly improve their opinion of you. When the character dies, the title will revert back to you.;Déléguer l'administration des terres relevant de l'un de vos titres à ce personnage. Cela va grandement améliorer son opinon à votre égard. Comme il s'agit d'une nomination viagère, le titre vous reviendra à sa mort.;Verleiht einem anderen Charakter einen Eurer Titel mit Landbesitz als Vizekönigswürde. Dies wird ihre Meinung über Euch wesentlich verbessern. Wenn der Charakter stirbt, fällt der Titel an Euch zurück.;;Conceder uno de tus títulos de tierras como virrey a otro personaje. Esto mejorará significativamente su opinión sobre ti. Cuando muera el personaje, el título volverá a ti.;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_0;Select a title to grant as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§W.;Choisissez le titre qui fera l'objet d'une délégation à §Y[Recipient.GetTitledFirstName]§W.;Wählt einen Titel, den Ihr §Y[Recipient.GetTitledFirstName]§W als Vizekönigswürde verleiht.;;Seleccionar un título para concederlo como virreinato a §Y[Recipient.GetTitledFirstName]§W.;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_1;Grant the §Y[ThirdPartyTitle.GetFullName]§W as a Viceroyalty to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W. When §Y[Recipient.GetTitledFirstName]§W dies, the title will revert back to you.;Déléguez l'administration du §Y[ThirdPartyTitle.GetFullName]§W à titre viager à §Y[Recipient.GetTitledFirstName]§W, ce qui aura pour effet d'accroître son opinion à votre égard de §G$OPINION$§W. Quand §Y[Recipient.GetTitledFirstName]§W mourra, le titre vous reviendra.;Verleiht §Y[ThirdPartyTitle.GetFullName]§W als Vizekönigswürde an §Y[Recipient.GetTitledFirstName]§W und erhöht dadurch [Recipient.GetPossPronoun] Meinung über Euch um §G$OPINION$§W. Wenn §Y[Recipient.GetTitledFirstName]§W stirbt, fällt der Titel an Euch zurück.;;Conceder §Y[ThirdPartyTitle.GetFullName]§W como virreinato a  §Y[Recipient.GetTitledFirstName]§W, incrementando así [Recipient.GetPossPronoun] opinión sobre ti en §G$OPINION$§W. Cuando §Y[Recipient.GetTitledFirstName]§W muera, el título volverá a ti.;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_2;The capital will change from §Y$CURRENT$§W to §Y$NEW$§W.;La capitale sera transférée de §Y$CURRENT$§W à §Y$NEW$§W.;Die Hauptstadt wird von §Y$CURRENT$§W nach §Y$NEW$§W verlegt.;;La capital pasará de ser §Y$CURRENT$§W a §Y$NEW$§W.;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_3;Vassals going with the grant: ;Vassaux inclus avec le titre : ;Vasallen, die zur Bewilligung gehören:;;Vasallos incluidos en la concesión:;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_4;[Player.Religion.GetPietyName] from temple grant: §G$PIETY$§!.;[Player.Religion.GetPietyName] de concession de temple : §G$PIETY$§!.;[Player.Religion.GetPietyName] von Tempelbewilligung: §G$PIETY$§!.;;[Player.Religion.GetPietyName] de concesión de templo: §G$PIETY$§!.;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_5;§RMaking [Recipient.GetObjectPronoun] a $TITLE$ will disqualify [Recipient.GetObjectPronoun] from the succession!§!;§R[Recipient.GetObjectPronoun] accorder le titre viager de $TITLE$ l’évincera de la succession !§!;§RDie Erhebung von [Recipient.GetObjectPronoun] zum $TITLE$ schließt [Recipient.GetObjectPronoun] von der Erbfolge aus!§!;;§R¡Concediendo a [Recipient.GetObjectPronoun] un título de $TITLE$, lo dejarás fuera de la sucesión!§!;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_SETUP;Viceroyalty Granted;Délégation viagère;Vizekönigswürde verliehen;;Virreinato Concedido;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_ACCEPT_LOG;§Y[Actor.GetBestName]§W granted the [ThirdPartyTitle.GetFullName] to §Y[Recipient.GetBestName]§W;§Y[Actor.GetBestName]§W a accordé le titre de [ThirdPartyTitle.GetFullName] à §Y[Recipient.GetBestName]§W.;§Y[Actor.GetBestName]§W verlieh [ThirdPartyTitle.GetFullName] an §Y[Recipient.GetBestName]§W;;§Y[Actor.GetBestName]§W ha concedido el título de [ThirdPartyTitle.GetFullName] a §Y[Recipient.GetBestName]§W.;;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_LETTER;We offer you the Viceroyalty of [ThirdPartyTitle.GetFullName];Nous vous octroyons l'autorité d'administrer en notre nom le [ThirdPartyTitle.GetFullName].;Wir bieten Euch die Vizekönigswürde von [ThirdPartyTitle.GetFullName] an;;Te ofrecemos el virreinato de [ThirdPartyTitle.GetFullName];;;;;;;;;x
GRANT_VICE_ROYALTY_INTERACTION_6;Grant the §Y[ThirdPartyTitle.GetFullName]§W as a Viceroyalty and all titles under it to §Y[Recipient.GetTitledFirstName]§W, increasing [Recipient.GetPossPronoun] opinion of you by §G$OPINION$§W. When §Y[Recipient.GetTitledFirstName]§W dies, the title will revert back to you.;Déléguez l'administration de §Y[ThirdPartyTitle.GetFullName]§W, ainsi que tout les fiefs en relevant, à titre viager, à §Y[Recipient.GetTitledFirstName]§W, augmente [Recipient.GetPossPronoun] opinion à votre égard de §G$OPINION$§W. Lorsque §Y[Recipient.GetTitledFirstName]§W mourra, le titre vous reviendra.;Verleiht §Y[ThirdPartyTitle.GetFullName]§W als Vizekönigswürde und alle dazu gehörenden Titel an §Y[Recipient.GetTitledFirstName]§W und erhöht dadurch [Recipient.GetPossPronoun] Meinung über Euch um §G$OPINION$§W. Wenn §Y[Recipient.GetTitledFirstName]§W stirbt, fällt der Titel an Euch zurück. ;;Conceder el §Y[ThirdPartyTitle.GetFullName]§W como virreinato y todos los títulos que abarca a §Y[Recipient.GetTitledFirstName]§W, incrementando así [Recipient.GetPossPronoun] opinión sobre ti §G$OPINION$§W. Cuando §Y[Recipient.GetTitledFirstName]§W muera, el título volverá a ti.;;;;;;;;;x
opinion_granted_barony_vice_royalty;Granted a Viceroyal Barony;A accordé un baillage;Gewährte Vizebaronie;;Virreinato Baronía Concedido;;;;;;;;;x
opinion_granted_county_vice_royalty;Granted a Viceroyal County;A accordé un vicomté;Gewährte Vizegrafschaft;;Virreinato Condado Concedido;;;;;;;;;x
opinion_granted_duchy_vice_royalty;Granted a Viceroyal Duchy;A accordé un palatinat;Gewährte Vizeherzogtum;;Virreinato Ducado Concedido;;;;;;;;;x
opinion_granted_kingdom_vice_royalty;Granted a Viceroyal Kingdom;A accordé un principauté;Gewährte Vizekönigreich;;Virreinato Reino Concedido;;;;;;;;;x
opinion_granted_empire_vice_royalty;Granted an Viceroyal Empire;A accordé un préfecture impériale;Gewährte Vizekaiserreich;;Virreinato Imperio Concedido;;;;;;;;;x
vice_royalty_barony_of;Viceroyal Barony of;Baillage de;Vizebaronie von;;Virreinato de la Baronía de;;;;;;;;;x
vice_royalty_county_of;Viceroyal County of;Vicomté de;Vizegrafschaft von;;Virreinato del Condado de;;;;;;;;;x
vice_royalty_duchy_of;Minor Viceroyalty of;Palatinat de;Minderes Vizekönigreich von;;Pequeño Virreinato de;;;;;;;;;x
vice_royalty_kingdom_of;Viceroyalty of;Principauté palatine de;Vizekönigreich von;;Virreinato de;;;;;;;;;x
vice_royalty_empire_of;Grand Viceroyalty of;Prétoire impérial de;Großes Vizekönigreich;;Gran Virreinato de;;;;;;;;;x
IS_VICE_ROYALTY;Is a Viceroyalty;Est une délégation viagère;Ist ein Vizekönigreich;;Es un Virreinato;;;;;;;;;x
ISNT_VICE_ROYALTY;Is not a Viceroyalty;N'est pas une délégation viagère;Ist kein Vizekönigreich;;No es un Virreinato;;;;;;;;;x
#vice_royalty_desc;With Viceroyalties, the risks associated with allowing certain vassals to grow in size will be reduced.;Avec les vice-royautés, les risques liés à l'autorisation donnée à certains vassaux de s'accroître seront réduits.;Mit Vizekönigswürden reduzieren sich die Risiken, wenn bestimmten Vasallen erlaubt wird ihr Gebiet vergrößern.;;Con Virreinatos, se reduce el riesgo que conlleva permitir que ciertos vasallos crezcan en tamaño.;;;;;;;;;x
vice_royalty_0;No Viceroyalties;Aucune délégation viagère;Keine Vizekönigreiche;;No Virreinatos;;;;;;;;;x
vice_royalty_0_option;None;Aucune;Keine;;Ninguno;;;;;;;;;x
vice_royalty_0_desc;Disables Viceroyalties.;Ne permet pas l'utilisation de vicerois;Deaktiviert jeden Gebrauch von Vizekönigswürden;;Inhabilita cualquier uso de virreinatos.;;;;;;;;;x
vice_royalty_1;Kingdom Viceroyalties;Délégation des royaumes;Königreich-Vizekönigswürden;;Reino Virreinato;;;;;;;;;x
vice_royalty_1_option;Kingdoms;Royaumes;Königreiche;;Reinos;;;;;;;;;x
vice_royalty_1_desc;Enables Kingdom Viceroyalties.;Permet le recours aux princes palatins;Ermöglicht Königreich-Vizekönigswürden.;;Posibilita Virreinatos en el Reino.;;;;;;;;;x
vice_royalty_2;Duchy Viceroyalties;Délégation des duchés;Herzogtum-Vizekönigswürden;;Virreinatos Ducado;;;;;;;;;x
vice_royalty_2_option;Duchies;Duchés;Herzogtümer;;Ducados;;;;;;;;;x
#vice_royalty_2_desc;Enables Duchy Viceroyalties.;Permet le recours aux comtes palatins;Ermöglicht Herzogtum-Vizekönigswürden. Eure Vasallen erwarten, dass Ihr dieses Recht in Eurem ganzen Reich anwendet.;;Posibilita Virreinatos en el Ducado. Tus vasallos esperan que hagas uso de esta ley en tu reino.;;;;;;;;;x
no_vice_royalties;No Viceroyalties;Aucune délégation viagère;Keine Vizekönigreiche;;No Virreinatos;;;;;;;;;x
emperor_vice_royalties;Allows Empire Viceroyalties;Autorise le recours aux césars, administrant en votre nom un empire entier;Ermöglicht Kaiserreich-Vizekönigreiche;;Permite Virreinatos en el Imperio;;;;;;;;;x
king_vice_royalties;Allows Kingdom Viceroyalties;Autorise le recours aux princes palatins, administrant en votre nom un royaume;Ermöglicht Königreich-Vizekönigswürden;;Permite Virreinatos en el Reino;;;;;;;;;x
#duke_vice_royalties;Allows Duchy Viceroyalties;Autorise le recours aux comtes palatins, administrant en votre nom un duché;Ermöglicht Herzogtum-Vizekönigswürden;;Permite Virreinatos en el Ducado;;;;;;;;;x
count_vice_royalties;Allows County Viceroyalties;Autorise le recours aux vicomtes, administrant en votre nom un comté;Ermöglicht Grafschaft-Vizekönigswürden;;Permite Virreinatos en el Condado;;;;;;;;;x
baron_vice_royalties;Allows Barony Viceroyalties;Autorise le recours aux baillis, administrant en votre nom une baronnie;Ermöglicht Baronie-Vizekönigswürden;;Permite Virreinatos en la Baronía;;;;;;;;;x
vice_royalty;Viceroyalty;Administration viagère;Vizekönigswürde;;Virreinato;;;;;;;;;x
AIREASON_STRATEGIC_INTEREST;For the good of the realm;Pour le bien de nos terres;Zum Wohl des Reiches;;Por el bien del reino;;;;;;;;;x
d_pskov_adj;Pskovian;Pskovienne;Pskower;Pskoviense;;;;;;;;;x;
tribal_emperor_altaic;Khagan;Khagan;Khagan;;Gran Kan;;;;;;;;;x
tribal_emperor_female_altaic;Khatun;Khatoun;Khatun;;Khatun;;;;;;;;;x
tribal_empire_of_altaic;Khaganate of;Khaganat de;Großkhanat von;;Kaganato de;;;;;;;;;x
tribal_king_altaic;Khan;Khan;Khan;;Kan;;;;;;;;;x
tribal_king_female_altaic;Khanum;Khanoum;Khanum;;Khanum;;;;;;;;;x
tribal_kingdom_of_altaic;Khanate of;Khanat de;Khanat von;;Kanato de;;;;;;;;;x
tribal_king_arabic;Sultan;Sultan;Sultan;;Sultán;;;;;;;;;x
tribal_king_female_arabic;Sultana;Sultane;Sultanin;;Sultana;;;;;;;;;x
tribal_kingdom_of_arabic;Sultanate of;Sultanat de;Sultanat von;;Sultanato de;;;;;;;;;x
tribal_emperor_arabic;Badshah;Badshah;Badshah;;Badshah;;;;;;;;;x
tribal_emperor_russian;Tsar;Tsar;Zar;;Zar;;;;;;;;;x
tribal_emperor_female_russian;Tsaritsa;Tsarine;Zarin;;Zarina;;;;;;;;;x
tribal_emperor_dravidian_group;Samrat;Samrat;Samrat;;Samrat;;;;;;;;;x
tribal_emperor_female_dravidian_group;Samrajni;Samrajni;Samrajni;;Samrajní;;;;;;;;;x
tribal_king_dravidian_group;Maharaja;Maharaja;Maharadscha;;Maharaja;;;;;;;;;x
tribal_king_female_dravidian_group;Maharani;Maharani;Maharani;;Maharaní;;;;;;;;;x
tribal_duke_dravidian_group;Raja;Raja;Radscha;;Rajá;;;;;;;;;x
tribal_duke_female_dravidian_group;Rani;Rani;Rani;;Raní;;;;;;;;;x
tribal_count_dravidian_group;Thakur;Thakur;Thakur;;Thakur;;;;;;;;;x
tribal_count_female_dravidian_group;Thakurani;Thakurani;Thakurani;;Thakuraní;;;;;;;;;x
tribal_baron_dravidian_group;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x
tribal_baron_female_dravidian_group;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x
tribal_title_prince_c_indian;Rajkumar;Rajkumar;Radschkumar;;Rajkumar;;;;;;;;;x
tribal_title_prince_female_c_indian;Rajkumari;Rajkumari;Radschkumari;;Rajkumarí;;;;;;;;;x
tribal_duchy_dravidian_group;Raj;Raj;Radsch;;Raj;;;;;;;;;x
tribal_county_dravidian_group;Thikana;Thikana;Thikana;;Thikana;;;;;;;;;x
tribal_barony_dravidian_group;Dama;Dama;Dama;;Dama;;;;;;;;;x
tribal_duchy_of_dravidian_group;Raj of;Raj de;Radsch von;;Raj de;;;;;;;;;x
tribal_county_of_dravidian_group;Thikana of;Thikana de;Thikana von;;Thikana de;;;;;;;;;x
tribal_barony_of_dravidian_group;Dama of;Dama de;Dama von;;Dama de;;;;;;;;;x
tribal_emperor_indo_aryan_group;Samrat;Samrat;Samrat;;Samrat;;;;;;;;;x
tribal_emperor_female_indo_aryan_group;Samrajni;Samrajni;Samrajni;;Samrajní;;;;;;;;;x
tribal_king_indo_aryan_group;Maharaja;Maharaja;Maharadscha;;Maharaja;;;;;;;;;x
tribal_king_female_indo_aryan_group;Maharani;Maharani;Maharani;;Maharaní;;;;;;;;;x
tribal_duke_indo_aryan_group;Raja;Raja;Radscha;;Rajá;;;;;;;;;x
tribal_duke_female_indo_aryan_group;Rani;Rani;Rani;;Raní;;;;;;;;;x
tribal_count_indo_aryan_group;Thakur;Thakur;Thakur;;Thakur;;;;;;;;;x
tribal_count_female_indo_aryan_group;Thakurani;Thakurani;Thakurani;;Thakuraní;;;;;;;;;x
tribal_baron_indo_aryan_group;Damapati;Damapati;Damapati;;Damapati;;;;;;;;;x
tribal_baron_female_indo_aryan_group;Damapatni;Damapatni;Damapatni;;Damapatní;;;;;;;;;x
tribal_title_prince_indo_aryan_group;Rajkumar;Rajkumar;Radschkumar;;Rajkumar;;;;;;;;;x
tribal_title_prince_female_indo_aryan_group;Rajkumari;Rajkumari;Radschkumari;;Rajkumarí;;;;;;;;;x
tribal_duchy_indo_aryan_group;Raj;Raj;Radsch;;Raj;;;;;;;;;x
tribal_county_indo_aryan_group;Thikana;Thikana;Thikana;;Thikana;;;;;;;;;x
tribal_barony_indo_aryan_group;Dama;Dama;Dama;;Dama;;;;;;;;;x
tribal_duchy_of_indo_aryan_group;Raj of;Raj de;Radsch von;;Raj de;;;;;;;;;x
tribal_county_of_indo_aryan_group;Thikana of;Thikana de;Thikana von;;Thikana de;;;;;;;;;x
tribal_barony_of_indo_aryan_group;Dama of;Dama de;Dama von;;Dama de;;;;;;;;;x
job_marshal_greek;Protostrator;Protostrator;Protostrator;;Protostrator;;;;;;;;;x
city_job_marshal_greek;Protostrator;Protostrator;Protostrator;;Protostrator;;;;;;;;;x
